Exercise Name,Workout Notes,Distance,Workout Name,Seconds,Date,Weight,Notes,Weight Unit,Distance Unit,Reps,Set Order
"""Cycling (Indoor)""","""""",2.4,"""Indoor Bike""",2100,2019-01-20 17:03:17,,"""""",,mi.,,1
"""Deadlift (Barbell)""","""""",,"""A""",0,2019-01-19 14:40:04,85,"""""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2019-01-19 14:40:04,95,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2019-01-19 14:40:04,105,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2019-01-19 14:40:04,115,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2019-01-19 14:40:04,125,,lbs,,6,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,30,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,35,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,40,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,45,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,50,,lbs,,7,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,22.5,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,25,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,27.5,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,30,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2019-01-19 14:40:04,35,,lbs,,5,5
"""Squat (Barbell)""",,,"""B""",0,2019-01-15 15:16:39,25,"""DIFF:  bench",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2019-01-15 15:16:39,27.5,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2019-01-15 15:16:39,30,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2019-01-15 15:16:39,32.5,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2019-01-15 15:16:39,35,,lbs,,5,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2019-01-15 15:16:39,27.5,"""DIFF:  bench",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2019-01-15 15:16:39,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2019-01-15 15:16:39,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2019-01-15 15:16:39,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2019-01-15 15:16:39,45,,lbs,,5,5
"""Pull Up""",,,"""B""",0,2019-01-15 15:16:39,0,"""DIFF:  bench",lbs,,12,1
"""Pull Up""",,,"""B""",0,2019-01-15 15:16:39,0,,lbs,,7,2
"""Cycling (Indoor)""","""""",10.5,"""Indoor Bike""",2100,2018-12-20 19:38:15,,"""""",,mi.,,1
"""Deadlift (Barbell)""","""FAST: D1""",,"""A""",0,2018-12-19 19:27:56,85,"""""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2018-12-19 19:27:56,95,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2018-12-19 19:27:56,105,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2018-12-19 19:27:56,115,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2018-12-19 19:27:56,125,,lbs,,5,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,30,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,35,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,40,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,45,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,50,,lbs,,7,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,22.5,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,25,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,27.5,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,30,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-12-19 19:27:56,35,,lbs,,6,5
"""Squat (Barbell)""","""DIFF:  bench",,"""B""",0,2018-12-11 16:49:18,25,"""""",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2018-12-11 16:49:18,27.5,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2018-12-11 16:49:18,30,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-12-11 16:49:18,32.5,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-12-11 16:49:18,35,,lbs,,5,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-12-11 16:49:18,27.5,"""""",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-12-11 16:49:18,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-12-11 16:49:18,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-12-11 16:49:18,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-12-11 16:49:18,45,,lbs,,5,5
"""Pull Up""",,,"""B""",0,2018-12-11 16:49:18,0,"""""",lbs,,14,1
"""Pull Up""",,,"""B""",0,2018-12-11 16:49:18,0,,lbs,,7,2
"""Deadlift (Barbell)""","""""",,"""A""",0,2018-11-15 16:53:18,85,"""""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-15 16:53:18,95,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-15 16:53:18,105,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-15 16:53:18,115,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-15 16:53:18,125,,lbs,,9,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,30,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,35,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,40,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,45,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,50,,lbs,,7,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,22.5,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,25,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,27.5,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,30,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-15 16:53:18,35,,lbs,,8,5
"""Squat (Barbell)""","""""",,"""B""",0,2018-11-11 17:06:44,25,"""""",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2018-11-11 17:06:44,27.5,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2018-11-11 17:06:44,30,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-11-11 17:06:44,32.5,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-11-11 17:06:44,35,,lbs,,10,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-11 17:06:44,27.5,"""""",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-11 17:06:44,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-11 17:06:44,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-11 17:06:44,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-11 17:06:44,45,,lbs,,6,5
"""Pull Up""",,,"""B""",0,2018-11-11 17:06:44,0,"""""",lbs,,14,1
"""Pull Up""",,,"""B""",0,2018-11-11 17:06:44,0,,lbs,,6,2
"""Deadlift (Barbell)""","""""",,"""A""",0,2018-11-07 17:53:05,85,"""""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-07 17:53:05,95,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-07 17:53:05,105,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-07 17:53:05,115,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-07 17:53:05,125,,lbs,,7,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,30,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,35,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,40,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,45,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,50,,lbs,,5,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,22.5,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,25,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,27.5,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,30,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-07 17:53:05,35,,lbs,,3,5
"""Squat (Barbell)""","""""",,"""B""",0,2018-11-05 16:06:40,25,"""""",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2018-11-05 16:06:40,27.5,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2018-11-05 16:06:40,30,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-11-05 16:06:40,32.5,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-11-05 16:06:40,35,,lbs,,6,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-05 16:06:40,27.5,"""""",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-05 16:06:40,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-05 16:06:40,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-05 16:06:40,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-11-05 16:06:40,45,,lbs,,6,5
"""Pull Up""",,,"""B""",0,2018-11-05 16:06:40,0,"""""",lbs,,13,1
"""Pull Up""",,,"""B""",0,2018-11-05 16:06:40,0,,lbs,,6,2
"""Deadlift (Barbell)""","""""",,"""A""",0,2018-11-02 16:53:36,85,"""""",lbs,,5,1
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-02 16:53:36,95,,lbs,,5,2
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-02 16:53:36,105,,lbs,,5,3
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-02 16:53:36,115,,lbs,,5,4
"""Deadlift (Barbell)""",,,"""A""",0,2018-11-02 16:53:36,125,,lbs,,9,5
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,27.5,"""""",lbs,,5,1
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,30,,lbs,,5,2
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,35,,lbs,,5,3
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,40,,lbs,,5,4
"""Bent Over Row (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,45,,lbs,,10,5
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,22.5,"""""",lbs,,5,1
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,25,,lbs,,5,2
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,27.5,,lbs,,5,3
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,30,,lbs,,5,4
"""Overhead Press (Dumbbell)""",,,"""A""",0,2018-11-02 16:53:36,35,,lbs,,6,5
"""Cycling (Indoor)""","""""",10.5,"""Indoor Bike""",35,2018-11-01 17:25:57,,"""""",,mi.,,1
"""Squat (Barbell)""","""""",,"""B""",0,2018-10-31 17:10:12,22.5,"""""",lbs,,5,1
"""Squat (Barbell)""",,,"""B""",0,2018-10-31 17:10:12,25,,lbs,,5,2
"""Squat (Barbell)""",,,"""B""",0,2018-10-31 17:10:12,27.5,,lbs,,5,3
"""Squat (Barbell)""",,,"""B""",0,2018-10-31 17:10:12,30,,lbs,,5,4
"""Squat (Barbell)""",,,"""B""",0,2018-10-31 17:10:12,32.5,,lbs,,10,5
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,27.5,"""""",lbs,,5,1
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,30,,lbs,,5,2
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,35,,lbs,,5,3
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,40,,lbs,,5,4
"""Bench Press (Dumbbell)""",,,"""B""",0,2018-10-31 17:10:12,45,,lbs,,5,5
